668-603562189564219392	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603578122634731520	RT HTCAshleyS Rain rain go away Im ready for the sunshine  BeSafe houstonflood TexansCheer
668-603578126975815682	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603578153207001088	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578181929533440	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603578201378430976	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578218294059008	Report Damages amp Debris 311 by Mobile App   Phone 7138370311 or Web   houstonflood
668-603578223872516098	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578256588054528	RT HTCAshleyS Rain rain go away Im ready for the sunshine  BeSafe houstonflood TexansCheer
668-603578269368066049	Its painful to see my city under water HoustonFlood
668-603578278826385408	RT weatherchannel LIVE coverage of historic Texas flooding continues on AMHQ w expert analysis houstonflood TXwx realtimeweather h
668-603578299302948864	houstonflood 
668-603578307666432000	RT HoustonOEM Report Damages amp Debris 311 by Mobile App   Phone 7138370311 or Web  
668-603578310224785408	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603578326838554625	RT RobbieKay Stay safe Houston folks   houstonflood
668-603578330755960832	Rain go away   houstonflood Houston rain 
668-603578361328214016	RT MyFoxHouston Clean up is underway in meyerland 1 day after the houstonflood Texasflood Houston 
668-603578378474692608	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603578381695725568	RT Duracell Houston amp San Marcos were coming wFREE batteries amp mobile charging to help those impacted by the houstonflood 
668-603578411949400065	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603578427111641088	RT MyFoxHouston Clean up is underway in meyerland 1 day after the houstonflood Texasflood Houston 
668-603578428491595776	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603578430328700928	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578432358780929	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603578436276199424	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603578447307218945	 tdmiller820917  exactly Tracy a message most need for houstonflood requesting PrayersForHouston  
668-603578508351119360	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578523190693888	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603578527317819393	RT TPOHofTexas PrayforTexas TexasFlood WimberleyStrong houstonflood austinflood 
668-603578532548096003	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603578537296076800	RT HoustonOEM Report Damages amp Debris 311 by Mobile App   Phone 7138370311 or Web  
668-603578557512683520	Hoping all our friends in TX stay safe houstonflood
668-603578577599102977	Stay safe Houston houstonflood  httpstcoKYw49ZdV9k
668-603578586667294720	RT jdfffn houstonflood 
668-603578604639756290	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603578606229454849	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603578629314908161	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578639213404160	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578647887261696	RT 10NewsPhillips My thoughts prayers w all impacted by flooding in Houston Texas and surrounding areas abc gma houstonflood htt
668-603578655629942785	Onair now Fleeing The FastRising White Oak Bayou It Was Pretty Crazy  houstonflood
668-603578660843425792	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603578676400164864	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578691902287872	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578699598823424	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603578736865193986	RT HTCAshleyS Rain rain go away Im ready for the sunshine  BeSafe houstonflood TexansCheer
668-603578766514921472	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603578773666074624	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603578786563530752	Jesus rebuked the wind and the raging waters the storm subsided and all was calm Luke 824 Thanks for your prayers HoustonFlood
668-603578805177815041	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578827009171456	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578833070002178	houstonflood PaulDRushingPark KatyHockley 
668-603578845208317953	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603578853685092352	I liked a YouTube video  Sigga TALES HOUSTONFLOOD SIGGAS
668-603578871087177728	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603578882432741376	RT ScottNollKHOU How deep is Houston floodwater Air11 caught this near Buffalo BayouWater nearly up to sign KHOU houstonflood http
668-603578891890921472	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578892142551040	RT HTCAshleyS Rain rain go away Im ready for the sunshine  BeSafe houstonflood TexansCheer
668-603578892192911361	RT ChrisBBrown HoustonFlood update from anniseparker canewport Fed relief funds coming if gt800 homes damaged which is likely http
668-603578936778498049	What was it like fleeing the houstonflood It was like a river at 2 oclock in the morning right here 
668-603578948698578947	Houstonflood hashtag on Twitter httpstcoUsLD3YTqD5  houston HOW HIGH IS THE WATER 
668-603578950971858945	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603578978675380225	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603578983775641600	Flood waters just breached a dam south of Dallas Pray for Texas amp Oklahoma houstonflood godblesstexas ccot tcot 
668-603578995825750016	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603579011827130368	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603579021100621824	Yea we could use the humor right now houstonflood 
668-603579037605302272	RT Scarlett210 Flood waters just breached a dam south of Dallas Pray for Texas amp Oklahoma houstonflood godblesstexas ccot tcot http
668-603579038922321920	RT CBSLocalSports San Francisco 49ers quarterback Kaepernick7 made a joke about the houstonflood Hes since apologized Twice 
668-603579056030900224	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603579078247985153	More rain in Houston today  houstonflood 
668-603579096153628672	RT Kar3n8926Jaimes abc13eyewitness  houstonflood scary 
668-603579103141232641	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603579130035118080	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603579133046689792	More rain this AM Hot Houston sun cant come back soon enough Until then stay safe Houstonflood
668-603579152315342848	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603579186079399936	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603579201174654977	InterfaithMin needs volunteer drivers to deliver meals to seniors today Call 7135334989 if you can help houstonflood MealsOnWheels
668-603579203817086976	RT HTCAshleyS Pray for our city Pray for our state Houston HoustonFlood Flooding Texas TexansCheer 
668-603579210456698880	RT MyFoxHouston Clean up is underway in meyerland 1 day after the houstonflood Texasflood Houston 
668-603579218241298432	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603579223446421504	RT JavierBlas2 Worst Flooding in Decades Paralyzes Houston the US Oil Industry Capital  houstonflood 
668-603579261782339584	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603579270527459328	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603579272083582977	You know its rained too much when fish take over your driveway abc13 houstonflood 
668-603579308519649282	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603579320699756544	RT AlexGreen713 Ok but who did this I cant houstonflood  HELP 
668-603579326525808640	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603579331873476609	Want to help w HoustonFlood goodandreadyorg says dont self deploy Get connected and volunteer at  goodandready
668-603579351171366913	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603579367478972416	Anyone know how Telge  Spring Cypress is this morning HoustonFlood Houston traffic weather
